Item Name,Category,Price,Date,IsMonsoon,IsPaydayWindow,IsLocalHoliday,IsDiwaliSeason,IsHoliSeason,IsEidSeason,MRPBand,IsStockout,Quantity,DayOfWeek,Month,Day
Sugar,Grocery,70.5,2020-06-02,1,1,0,0,0,0,51–80,0,73.0,1,6,2
Shampoo,Personal Care,79.18,2020-06-03,1,1,0,0,0,0,51–80,0,26.0,2,6,3
Juice,Beverages,13.37,2020-06-04,1,0,0,0,0,0,≤20,0,43.0,3,6,4
Sugar,Grocery,84.68,2020-06-05,1,0,0,0,0,0,81–120,0,65.0,4,6,5
Milk,Dairy,36.18,2020-06-06,1,0,0,0,0,0,21–50,0,63.0,5,6,6
Shampoo,Personal Care,94.24,2020-06-07,1,0,0,0,0,0,81–120,0,15.0,6,6,7
Sugar,Grocery,99.31,2020-06-08,1,0,0,0,0,0,81–120,0,57.0,0,6,8
Sugar,Grocery,90.17,2020-06-09,1,0,0,0,0,0,81–120,0,58.0,1,6,9
Biscuits,Snacks,79.48,2020-06-10,1,0,0,0,0,0,51–80,0,38.0,2,6,10
Milk,Dairy,18.5,2020-06-11,1,0,0,0,0,0,≤20,0,77.0,3,6,11
Sugar,Grocery,31.69,2020-06-12,1,0,0,0,0,0,21–50,0,85.0,4,6,12
Rice,Grocery,23.8,2020-06-13,1,0,0,0,0,0,21–50,0,77.0,5,6,13
Milk,Dairy,27.68,2020-06-14,1,0,0,0,0,0,21–50,0,62.0,6,6,14
Shampoo,Personal Care,97.46,2020-06-15,1,0,0,0,0,0,81–120,0,11.0,0,6,15
Soap,Personal Care,30.67,2020-06-16,1,0,0,0,0,0,21–50,0,32.0,1,6,16
Shampoo,Personal Care,20.96,2020-06-17,1,0,0,0,0,0,21–50,0,34.0,2,6,17
Shampoo,Personal Care,27.98,2020-06-18,1,0,0,0,0,0,21–50,0,31.0,3,6,18
Biscuits,Snacks,76.51,2020-06-19,1,0,0,0,0,0,51–80,0,42.0,4,6,19
Juice,Beverages,45.78,2020-06-20,1,0,0,0,0,0,21–50,0,36.0,5,6,20
Soap,Personal Care,69.66,2020-06-21,1,0,0,0,0,0,51–80,0,26.0,6,6,21
Salt,Grocery,12.24,2020-06-22,1,0,0,0,0,0,≤20,0,83.0,0,6,22
Rice,Grocery,19.53,2020-06-23,1,0,0,0,0,0,≤20,0,80.0,1,6,23
Biscuits,Snacks,63.64,2020-06-24,1,0,0,0,0,0,51–80,0,41.0,2,6,24
Toothpaste,Personal Care,52.06,2020-06-25,1,0,0,0,0,0,51–80,1,0.0,3,6,25
Soap,Personal Care,84.65,2020-06-26,1,0,0,0,0,0,81–120,0,12.0,4,6,26
Sugar,Grocery,57.77,2020-06-27,1,0,0,0,0,0,51–80,0,63.0,5,6,27
Milk,Dairy,47.13,2020-06-28,1,1,0,0,0,0,21–50,0,64.0,6,6,28
Milk,Dairy,88.07,2020-06-29,1,1,0,0,0,0,81–120,0,49.0,0,6,29
Soap,Personal Care,77.14,2020-06-30,1,1,0,0,0,0,51–80,0,31.0,1,6,30
Soap,Personal Care,15.99,2020-07-01,1,1,0,0,0,0,≤20,0,38.0,2,7,1
Soap,Personal Care,37.93,2020-07-02,1,1,0,0,0,0,21–50,0,32.0,3,7,2
Shampoo,Personal Care,24.9,2020-07-03,1,1,0,0,0,0,21–50,0,35.0,4,7,3
Sugar,Grocery,11.9,2020-07-04,1,0,0,0,0,0,≤20,0,81.0,5,7,4
Toothpaste,Personal Care,14.8,2020-07-05,1,0,0,0,0,0,≤20,0,39.0,6,7,5
Salt,Grocery,38.62,2020-07-06,1,0,0,0,0,0,21–50,0,75.0,0,7,6
Toothpaste,Personal Care,86.6,2020-07-07,1,0,0,0,0,0,81–120,0,16.0,1,7,7
Sugar,Grocery,32.44,2020-07-08,1,0,0,0,0,0,21–50,0,84.0,2,7,8
Juice,Beverages,14.43,2020-07-09,1,0,0,0,0,0,≤20,0,41.0,3,7,9
Juice,Beverages,93.24,2020-07-10,1,0,0,0,0,0,81–120,0,14.0,4,7,10
Toothpaste,Personal Care,91.24,2020-07-11,1,0,0,0,0,0,81–120,0,8.0,5,7,11
Toothpaste,Personal Care,67.82,2020-07-12,1,0,0,0,0,0,51–80,0,19.0,6,7,12
Milk,Dairy,58.25,2020-07-13,1,0,0,0,0,0,51–80,0,58.0,0,7,13
Biscuits,Snacks,44.66,2020-07-14,1,0,0,0,0,0,21–50,0,52.0,1,7,14
Bread,Bakery,22.58,2020-07-15,1,0,0,0,0,0,21–50,0,51.0,2,7,15
Salt,Grocery,43.08,2020-07-16,1,0,0,0,0,0,21–50,0,77.0,3,7,16
Rice,Grocery,44.15,2020-07-17,1,0,0,0,0,0,21–50,0,67.0,4,7,17
Biscuits,Snacks,92.47,2020-07-18,1,0,0,0,0,0,81–120,0,45.0,5,7,18
Juice,Beverages,58.19,2020-07-19,1,0,0,0,0,0,51–80,0,42.0,6,7,19
Salt,Grocery,57.95,2020-07-20,1,0,0,0,0,0,51–80,0,69.0,0,7,20
Biscuits,Snacks,76.14,2020-07-21,1,0,0,0,0,0,51–80,0,36.0,1,7,21
Salt,Grocery,21.89,2020-07-22,1,0,0,0,0,0,21–50,0,85.0,2,7,22
Sugar,Grocery,75.31,2020-07-23,1,0,0,0,0,0,51–80,0,67.0,3,7,23
Shampoo,Personal Care,96.3,2020-07-24,1,0,0,0,0,0,81–120,0,9.0,4,7,24
Bread,Bakery,80.44,2020-07-25,1,0,0,0,0,0,81–120,0,39.0,5,7,25
Rice,Grocery,63.11,2020-07-26,1,0,0,0,0,0,51–80,0,64.0,6,7,26
Milk,Dairy,25.42,2020-07-27,1,0,0,0,0,0,21–50,0,73.0,0,7,27
Shampoo,Personal Care,57.04,2020-07-28,1,1,0,0,0,0,51–80,0,28.0,1,7,28
Salt,Grocery,54.29,2020-07-29,1,1,0,0,0,0,51–80,0,68.0,2,7,29
Milk,Dairy,20.54,2020-07-30,1,1,0,0,0,0,21–50,0,84.0,3,7,30
Milk,Dairy,47.67,2020-07-31,1,1,0,0,0,0,21–50,0,66.0,4,7,31
Sugar,Grocery,90.85,2020-08-01,1,1,0,0,0,0,81–120,0,68.0,5,8,1
Sugar,Grocery,42.78,2020-08-02,1,1,0,0,0,0,21–50,0,81.0,6,8,2
Soap,Personal Care,94.25,2020-08-03,1,1,0,0,0,0,81–120,0,11.0,0,8,3
Soap,Personal Care,75.67,2020-08-04,1,0,0,0,0,0,51–80,0,14.0,1,8,4
Toothpaste,Personal Care,53.14,2020-08-05,1,0,0,0,0,0,51–80,0,25.0,2,8,5
Shampoo,Personal Care,74.6,2020-08-06,1,0,0,0,0,0,51–80,0,23.0,3,8,6
Rice,Grocery,67.34,2020-08-07,1,0,0,0,0,0,51–80,0,56.0,4,8,7
Bread,Bakery,71.75,2020-08-08,1,0,0,0,0,0,51–80,0,45.0,5,8,8
Juice,Beverages,36.58,2020-08-09,1,0,0,0,0,0,21–50,0,32.0,6,8,9
Shampoo,Personal Care,37.17,2020-08-10,1,0,0,0,0,0,21–50,0,32.0,0,8,10
Milk,Dairy,99.73,2020-08-11,1,0,0,0,0,0,81–120,0,45.0,1,8,11
Milk,Dairy,85.32,2020-08-12,1,0,0,0,0,0,81–120,0,53.0,2,8,12
Toothpaste,Personal Care,68.51,2020-08-13,1,0,0,0,0,0,51–80,0,24.0,3,8,13
Toothpaste,Personal Care,12.61,2020-08-14,1,0,0,0,0,0,≤20,0,33.0,4,8,14
Rice,Grocery,27.84,2020-08-15,1,0,1,0,0,0,21–50,0,84.0,5,8,15
Salt,Grocery,13.25,2020-08-16,1,0,0,0,0,0,≤20,0,81.0,6,8,16
Biscuits,Snacks,82.13,2020-08-17,1,0,0,0,0,0,81–120,0,32.0,0,8,17
Soap,Personal Care,15.15,2020-08-18,1,0,0,0,0,0,≤20,0,40.0,1,8,18
Shampoo,Personal Care,72.83,2020-08-19,1,0,0,0,0,0,51–80,0,25.0,2,8,19
Sugar,Grocery,28.16,2020-08-20,1,0,0,0,0,0,21–50,0,84.0,3,8,20
Sugar,Grocery,23.97,2020-08-21,1,0,0,0,0,0,21–50,0,71.0,4,8,21
Bread,Bakery,34.37,2020-08-22,1,0,0,0,0,0,21–50,0,60.0,5,8,22
Milk,Dairy,14.91,2020-08-23,1,0,0,0,0,0,≤20,0,65.0,6,8,23
Shampoo,Personal Care,89.57,2020-08-24,1,0,0,0,0,0,81–120,0,5.0,0,8,24
Toothpaste,Personal Care,26.52,2020-08-25,1,0,0,0,0,0,21–50,0,27.0,1,8,25
Biscuits,Snacks,80.57,2020-08-26,1,0,0,0,0,0,81–120,0,39.0,2,8,26
Shampoo,Personal Care,95.14,2020-08-27,1,0,0,0,0,0,81–120,0,10.0,3,8,27
Milk,Dairy,72.98,2020-08-28,1,1,0,0,0,0,51–80,0,59.0,4,8,28
Toothpaste,Personal Care,55.75,2020-08-29,1,1,0,0,0,0,51–80,0,30.0,5,8,29
Milk,Dairy,20.73,2020-08-30,1,1,0,0,0,0,21–50,0,77.0,6,8,30
Shampoo,Personal Care,48.51,2020-08-31,1,1,0,0,0,0,21–50,0,32.0,0,8,31
Juice,Beverages,47.06,2020-09-01,1,1,0,0,0,0,21–50,0,38.0,1,9,1
Sugar,Grocery,38.53,2020-09-02,1,1,0,0,0,0,21–50,0,81.0,2,9,2
Sugar,Grocery,52.67,2020-09-03,1,1,0,0,0,0,51–80,0,84.0,3,9,3
Salt,Grocery,73.18,2020-09-04,1,0,0,0,0,0,51–80,0,63.0,4,9,4
Sugar,Grocery,38.46,2020-09-05,1,0,0,0,0,0,21–50,0,73.0,5,9,5
Toothpaste,Personal Care,66.34,2020-09-06,1,0,0,0,0,0,51–80,0,34.0,6,9,6
Bread,Bakery,76.3,2020-09-07,1,0,0,0,0,0,51–80,0,44.0,0,9,7
Soap,Personal Care,56.82,2020-09-08,1,0,0,0,0,0,51–80,0,20.0,1,9,8
Rice,Grocery,85.36,2020-09-09,1,0,0,0,0,0,81–120,0,64.0,2,9,9
Soap,Personal Care,35.26,2020-09-10,1,0,0,0,0,0,21–50,0,32.0,3,9,10
Rice,Grocery,38.25,2020-09-11,1,0,0,0,0,0,21–50,1,0.0,4,9,11
Bread,Bakery,87.09,2020-09-12,1,0,0,0,0,0,81–120,0,47.0,5,9,12
Shampoo,Personal Care,64.08,2020-09-13,1,0,0,0,0,0,51–80,0,14.0,6,9,13
Sugar,Grocery,99.59,2020-09-14,1,0,0,0,0,0,81–120,0,58.0,0,9,14
Rice,Grocery,71.89,2020-09-15,1,0,0,0,0,0,51–80,0,57.0,1,9,15
Milk,Dairy,10.97,2020-09-16,1,0,0,0,0,0,≤20,0,76.0,2,9,16
Bread,Bakery,24.74,2020-09-17,1,0,0,0,0,0,21–50,0,56.0,3,9,17
Bread,Bakery,60.04,2020-09-18,1,0,0,0,0,0,51–80,0,44.0,4,9,18
Milk,Dairy,22.74,2020-09-19,1,0,0,0,0,0,21–50,0,75.0,5,9,19
Juice,Beverages,77.98,2020-09-20,1,0,0,0,0,0,51–80,0,29.0,6,9,20
Sugar,Grocery,23.56,2020-09-21,1,0,0,0,0,0,21–50,0,74.0,0,9,21
Sugar,Grocery,30.96,2020-09-22,1,0,0,0,0,0,21–50,0,80.0,1,9,22
Rice,Grocery,62.78,2020-09-23,1,0,0,0,0,0,51–80,0,55.0,2,9,23
Soap,Personal Care,85.92,2020-09-24,1,0,0,0,0,0,81–120,0,16.0,3,9,24
Sugar,Grocery,70.32,2020-09-25,1,0,0,0,0,0,51–80,0,64.0,4,9,25
Toothpaste,Personal Care,58.56,2020-09-26,1,0,0,0,0,0,51–80,0,26.0,5,9,26
Soap,Personal Care,53.43,2020-09-27,1,0,0,0,0,0,51–80,0,26.0,6,9,27
Salt,Grocery,91.86,2020-09-28,1,1,0,0,0,0,81–120,0,63.0,0,9,28
Sugar,Grocery,40.65,2020-09-29,1,1,0,0,0,0,21–50,0,78.0,1,9,29
Rice,Grocery,66.77,2020-09-30,1,1,0,0,0,0,51–80,0,71.0,2,9,30
Biscuits,Snacks,27.24,2020-10-01,0,1,0,0,0,0,21–50,0,57.0,3,10,1
Shampoo,Personal Care,37.68,2020-10-02,0,1,1,0,0,0,21–50,1,0.0,4,10,2
Sugar,Grocery,35.02,2020-10-03,0,1,0,0,0,0,21–50,0,72.0,5,10,3
Shampoo,Personal Care,65.83,2020-10-04,0,0,0,0,0,0,51–80,0,26.0,6,10,4
Sugar,Grocery,91.3,2020-10-05,0,0,0,0,0,0,81–120,0,40.0,0,10,5
Salt,Grocery,88.01,2020-10-06,0,0,0,0,0,0,81–120,0,57.0,1,10,6
Biscuits,Snacks,49.61,2020-10-07,0,0,0,0,0,0,21–50,0,40.0,2,10,7
Sugar,Grocery,98.61,2020-10-08,0,0,0,0,0,0,81–120,0,51.0,3,10,8
Bread,Bakery,77.5,2020-10-09,0,0,0,0,0,0,51–80,0,39.0,4,10,9
Bread,Bakery,79.96,2020-10-10,0,0,0,0,0,0,51–80,0,38.0,5,10,10
Biscuits,Snacks,51.85,2020-10-11,0,0,0,0,0,0,51–80,0,35.0,6,10,11
Bread,Bakery,17.63,2020-10-12,0,0,0,0,0,0,≤20,0,56.0,0,10,12
Shampoo,Personal Care,93.22,2020-10-13,0,0,0,0,0,0,81–120,0,15.0,1,10,13
Biscuits,Snacks,14.38,2020-10-14,0,0,0,0,0,0,≤20,0,50.0,2,10,14
Juice,Beverages,74.19,2020-10-15,0,0,0,1,0,0,51–80,0,44.0,3,10,15
Soap,Personal Care,82.08,2020-10-16,0,0,0,1,0,0,81–120,0,20.0,4,10,16
Soap,Personal Care,65.97,2020-10-17,0,0,0,1,0,0,51–80,1,0.0,5,10,17
Sugar,Grocery,70.96,2020-10-18,0,0,0,1,0,0,51–80,0,85.0,6,10,18
Shampoo,Personal Care,90.61,2020-10-19,0,0,0,1,0,0,81–120,0,23.0,0,10,19
Milk,Dairy,41.32,2020-10-20,0,0,0,1,0,0,21–50,0,77.0,1,10,20
Toothpaste,Personal Care,63.13,2020-10-21,0,0,0,1,0,0,51–80,0,23.0,2,10,21
Biscuits,Snacks,26.88,2020-10-22,0,0,0,1,0,0,21–50,0,72.0,3,10,22
Sugar,Grocery,74.59,2020-10-23,0,0,0,1,0,0,51–80,0,85.0,4,10,23
Sugar,Grocery,46.71,2020-10-24,0,0,0,1,0,0,21–50,0,89.0,5,10,24
Soap,Personal Care,99.78,2020-10-25,0,0,0,1,0,0,81–120,0,7.0,6,10,25
Juice,Beverages,92.38,2020-10-26,0,0,0,1,0,0,81–120,0,46.0,0,10,26
Rice,Grocery,42.88,2020-10-27,0,0,0,1,0,0,21–50,0,85.0,1,10,27
Juice,Beverages,50.8,2020-10-28,0,1,0,1,0,0,51–80,0,57.0,2,10,28
Soap,Personal Care,47.83,2020-10-29,0,1,0,1,0,0,21–50,0,25.0,3,10,29
Milk,Dairy,35.61,2020-10-30,0,1,0,1,0,0,21–50,0,73.0,4,10,30
Milk,Dairy,39.28,2020-10-31,0,1,0,1,0,0,21–50,0,75.0,5,10,31
Sugar,Grocery,63.17,2020-11-01,0,1,1,1,0,0,51–80,0,108.0,6,11,1
Rice,Grocery,31.72,2020-11-02,0,1,0,1,0,0,21–50,0,109.0,0,11,2
Toothpaste,Personal Care,35.49,2020-11-03,0,1,0,1,0,0,21–50,0,39.0,1,11,3
Toothpaste,Personal Care,80.54,2020-11-04,0,0,0,1,0,0,81–120,0,23.0,2,11,4
Toothpaste,Personal Care,70.71,2020-11-05,0,0,0,1,0,0,51–80,0,20.0,3,11,5
Shampoo,Personal Care,60.6,2020-11-06,0,0,0,1,0,0,51–80,0,33.0,4,11,6
Sugar,Grocery,56.15,2020-11-07,0,0,0,1,0,0,51–80,0,85.0,5,11,7
Sugar,Grocery,96.38,2020-11-08,0,0,0,1,0,0,81–120,0,70.0,6,11,8
Salt,Grocery,15.9,2020-11-09,0,0,0,1,0,0,≤20,0,94.0,0,11,9
Sugar,Grocery,38.13,2020-11-10,0,0,0,1,0,0,21–50,0,91.0,1,11,10
Juice,Beverages,15.45,2020-11-11,0,0,0,1,0,0,≤20,0,55.0,2,11,11
Milk,Dairy,37.19,2020-11-12,0,0,0,1,0,0,21–50,0,64.0,3,11,12
Juice,Beverages,20.09,2020-11-13,0,0,0,1,0,0,21–50,1,0.0,4,11,13
Sugar,Grocery,55.74,2020-11-14,0,0,0,1,0,0,51–80,0,81.0,5,11,14
Bread,Bakery,80.25,2020-11-15,0,0,0,1,0,0,81–120,0,55.0,6,11,15
Juice,Beverages,39.02,2020-11-16,0,0,0,1,0,0,21–50,0,41.0,0,11,16
Shampoo,Personal Care,30.54,2020-11-17,0,0,0,1,0,0,21–50,0,36.0,1,11,17
Soap,Personal Care,14.37,2020-11-18,0,0,0,1,0,0,≤20,0,34.0,2,11,18
Juice,Beverages,14.26,2020-11-19,0,0,0,1,0,0,≤20,0,59.0,3,11,19
Salt,Grocery,10.83,2020-11-20,0,0,0,1,0,0,≤20,0,104.0,4,11,20
Biscuits,Snacks,65.81,2020-11-21,0,0,0,1,0,0,51–80,0,63.0,5,11,21
Juice,Beverages,63.12,2020-11-22,0,0,0,1,0,0,51–80,1,0.0,6,11,22
Bread,Bakery,65.72,2020-11-23,0,0,0,1,0,0,51–80,0,67.0,0,11,23
Toothpaste,Personal Care,86.99,2020-11-24,0,0,0,1,0,0,81–120,0,17.0,1,11,24
Toothpaste,Personal Care,64.31,2020-11-25,0,0,0,1,0,0,51–80,0,33.0,2,11,25
Bread,Bakery,83.18,2020-11-26,0,0,0,0,0,0,81–120,0,44.0,3,11,26
Biscuits,Snacks,29.47,2020-11-27,0,0,0,0,0,0,21–50,0,54.0,4,11,27
Bread,Bakery,17.03,2020-11-28,0,1,0,0,0,0,≤20,0,68.0,5,11,28
Milk,Dairy,24.89,2020-11-29,0,1,0,0,0,0,21–50,0,63.0,6,11,29
Shampoo,Personal Care,76.47,2020-11-30,0,1,0,0,0,0,51–80,0,27.0,0,11,30
Juice,Beverages,21.34,2020-12-01,0,1,0,0,0,0,21–50,0,49.0,1,12,1
Salt,Grocery,25.56,2020-12-02,0,1,0,0,0,0,21–50,0,80.0,2,12,2
Sugar,Grocery,11.49,2020-12-03,0,1,0,0,0,0,≤20,0,93.0,3,12,3
Sugar,Grocery,21.42,2020-12-04,0,0,0,0,0,0,21–50,0,74.0,4,12,4
Bread,Bakery,65.96,2020-12-05,0,0,0,0,0,0,51–80,0,44.0,5,12,5
Rice,Grocery,63.51,2020-12-06,0,0,0,0,0,0,51–80,0,63.0,6,12,6
Toothpaste,Personal Care,11.63,2020-12-07,0,0,0,0,0,0,≤20,0,41.0,0,12,7
Toothpaste,Personal Care,88.65,2020-12-08,0,0,0,0,0,0,81–120,0,13.0,1,12,8
Juice,Beverages,45.65,2020-12-09,0,0,0,0,0,0,21–50,0,38.0,2,12,9
Sugar,Grocery,61.02,2020-12-10,0,0,0,0,0,0,51–80,0,61.0,3,12,10
Juice,Beverages,56.31,2020-12-11,0,0,0,0,0,0,51–80,0,32.0,4,12,11
Bread,Bakery,56.82,2020-12-12,0,0,0,0,0,0,51–80,0,45.0,5,12,12
Milk,Dairy,45.55,2020-12-13,0,0,0,0,0,0,21–50,0,57.0,6,12,13
Salt,Grocery,96.54,2020-12-14,0,0,0,0,0,0,81–120,0,48.0,0,12,14
Sugar,Grocery,92.13,2020-12-15,0,0,0,0,0,0,81–120,0,46.0,1,12,15
Biscuits,Snacks,76.01,2020-12-16,0,0,0,0,0,0,51–80,0,37.0,2,12,16
Salt,Grocery,76.75,2020-12-17,0,0,0,0,0,0,51–80,0,43.0,3,12,17
Milk,Dairy,61.29,2020-12-18,0,0,0,0,0,0,51–80,0,45.0,4,12,18
Sugar,Grocery,81.83,2020-12-19,0,0,0,0,0,0,81–120,0,53.0,5,12,19
Milk,Dairy,76.92,2020-12-20,0,0,0,0,0,0,51–80,0,45.0,6,12,20
Shampoo,Personal Care,74.74,2020-12-21,0,0,0,0,0,0,51–80,0,17.0,0,12,21
Biscuits,Snacks,38.72,2020-12-22,0,0,0,0,0,0,21–50,0,64.0,1,12,22
Sugar,Grocery,64.16,2020-12-23,0,0,0,0,0,0,51–80,0,58.0,2,12,23
Sugar,Grocery,27.71,2020-12-24,0,0,0,0,0,0,21–50,0,71.0,3,12,24
Sugar,Grocery,24.66,2020-12-25,0,0,1,0,0,0,21–50,0,82.0,4,12,25
Biscuits,Snacks,95.94,2020-12-26,0,0,0,0,0,0,81–120,0,26.0,5,12,26
Shampoo,Personal Care,89.29,2020-12-27,0,0,0,0,0,0,81–120,0,9.0,6,12,27
Milk,Dairy,26.72,2020-12-28,0,1,0,0,0,0,21–50,0,66.0,0,12,28
Soap,Personal Care,14.07,2020-12-29,0,1,0,0,0,0,≤20,0,34.0,1,12,29
Sugar,Grocery,68.73,2020-12-30,0,1,0,0,0,0,51–80,0,57.0,2,12,30
Salt,Grocery,36.53,2020-12-31,0,1,0,0,0,0,21–50,0,76.0,3,12,31
Shampoo,Personal Care,91.15,2021-01-01,0,1,0,0,0,0,81–120,0,21.0,4,1,1
Soap,Personal Care,16.46,2021-01-02,0,1,0,0,0,0,≤20,0,40.0,5,1,2
Soap,Personal Care,59.76,2021-01-03,0,1,0,0,0,0,51–80,0,13.0,6,1,3
Toothpaste,Personal Care,58.81,2021-01-04,0,0,0,0,0,0,51–80,0,20.0,0,1,4
Shampoo,Personal Care,24.43,2021-01-05,0,0,0,0,0,0,21–50,0,37.0,1,1,5
Salt,Grocery,36.64,2021-01-06,0,0,0,0,0,0,21–50,0,61.0,2,1,6
Juice,Beverages,78.4,2021-01-07,0,0,0,0,0,0,51–80,0,25.0,3,1,7
Milk,Dairy,20.86,2021-01-08,0,0,0,0,0,0,21–50,0,62.0,4,1,8
Sugar,Grocery,33.81,2021-01-09,0,0,0,0,0,0,21–50,0,64.0,5,1,9
Salt,Grocery,50.49,2021-01-10,0,0,0,0,0,0,51–80,0,61.0,6,1,10
Milk,Dairy,86.62,2021-01-11,0,0,0,0,0,0,81–120,0,51.0,0,1,11
Rice,Grocery,32.03,2021-01-12,0,0,0,0,0,0,21–50,0,68.0,1,1,12
Salt,Grocery,89.92,2021-01-13,0,0,0,0,0,0,81–120,0,50.0,2,1,13
Biscuits,Snacks,57.68,2021-01-14,0,0,0,0,0,0,51–80,0,44.0,3,1,14
Toothpaste,Personal Care,21.86,2021-01-15,0,0,0,0,0,0,21–50,0,33.0,4,1,15
Biscuits,Snacks,95.79,2021-01-16,0,0,0,0,0,0,81–120,0,32.0,5,1,16
Sugar,Grocery,28.69,2021-01-17,0,0,0,0,0,0,21–50,0,70.0,6,1,17
Bread,Bakery,92.52,2021-01-18,0,0,0,0,0,0,81–120,0,41.0,0,1,18
Salt,Grocery,51.85,2021-01-19,0,0,0,0,0,0,51–80,0,65.0,1,1,19
Salt,Grocery,98.97,2021-01-20,0,0,0,0,0,0,81–120,0,52.0,2,1,20
Bread,Bakery,52.19,2021-01-21,0,0,0,0,0,0,51–80,0,51.0,3,1,21
Milk,Dairy,14.51,2021-01-22,0,0,0,0,0,0,≤20,0,72.0,4,1,22
Rice,Grocery,66.04,2021-01-23,0,0,0,0,0,0,51–80,0,60.0,5,1,23
